Title,year,Rating,Run Time,imdb_rating,Budget,Gross_worldwide,Director,Metascore,Hour,hr_min,Min,RunTime_min
The Usual Suspects,1995,R,1h 46m,8,6000000,23341568,Bryan Singer,77,1,60,46,106
The Seventh Seal,1957,Not Rated,1h 36m,8,150000,288931,Ingmar Bergman,88,1,60,36,96
The Help,2011,PG-13,2h 26m,8,25000000,216639112,Tate Taylor,62,2,120,26,146
Vertigo,1958,PG,2h 8m,8,2479000,7797728,Alfred Hitchcock,100,2,120,8,128
Full Metal Jacket,1987,R,1h 56m,8,30000000,46357676,Stanley Kubrick,76,1,60,56,116
Jaws,1975,PG,2h 4m,8,7000000,471411300,Steven Spielberg,87,2,120,4,124
The Lord of the Rings: The Return of the King,2003,PG-13,3h 21m,9,94000000,1146436214,Peter Jackson,94,3,180,21,201
Django Unchained,2012,R,2h 45m,8,100000000,426074373,Quentin Tarantino,81,2,120,45,165
Princess Mononoke,1997,PG-13,2h 14m,8,2400000000,169785704,Hayao Miyazaki,76,2,120,14,134
Kill Bill: Vol. 1,2003,R,1h 51m,8,30000000,180906076,Quentin Tarantino,69,1,60,51,111
Pirates of the Caribbean: The Curse of the Black Pearl,2003,PG-13,2h 23m,8,140000000,654264015,Gore Verbinski,63,2,120,23,143
Aladdin,1992,G,1h 30m,8,28000000,504050219,Ron Clements,86,1,60,30,90
The Dark Knight,2008,PG-13,2h 32m,9,185000000,1006102277,Christopher Nolan,84,2,120,32,152
Gran Torino,2008,R,1h 56m,8,33000000,269958228,Clint Eastwood,72,1,60,56,116
Downfall,2004,R,2h 36m,8,13500000,92181574,Oliver Hirschbiegel,82,2,120,36,156
Before Sunset,2004,R,1h 20m,8,2700000,15936507,Richard Linklater,90,1,60,20,80
Requiem for a Dream,2000,Unrated,1h 42m,8,4500000,7390108,Darren Aronofsky,68,1,60,42,102
Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,2h 10m,8,125000000,1342359942,David Yates,85,2,120,10,130
American Beauty,1999,R,2h 2m,8,15000000,356296601,Sam Mendes,84,2,120,2,122
Casablanca,1942,PG,1h 42m,8,950000,4497613,Michael Curtiz,100,1,60,42,102
Avengers: Infinity War,2018,PG-13,2h 29m,8,321000000,2048359754,Anthony Russo,68,2,120,29,149
The Wizard of Oz,1939,G,1h 42m,8,2777000,25637669,Victor Fleming,92,1,60,42,102
Rashomon,1950,Not Rated,1h 28m,8,250000,46808,Akira Kurosawa,98,1,60,28,88
Pan's Labyrinth,2006,R,1h 58m,8,19000000,83862032,Guillermo del Toro,98,1,60,58,118
No Country for Old Men,2007,R,2h 2m,8,25000000,171627166,Ethan Coen,92,2,120,2,122
Warrior,2011,PG-13,2h 20m,8,25000000,23308615,Gavin O'Connor,71,2,120,20,140
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,PG,1h 35m,8,1800000,9523464,Stanley Kubrick,97,1,60,35,95
Joker,2019,R,2h 2m,8,55000000,1074445730,Todd Phillips,59,2,120,2,122
The Grand Budapest Hotel,2014,R,1h 39m,8,25000000,173082189,Wes Anderson,88,1,60,39,99
Lawrence of Arabia,1962,Approved,3h 38m,8,15000000,45716692,David Lean,100,3,180,38,218
Wild Tales,2014,R,2h 2m,8,3300000,30642704,Damián Szifron,77,2,120,2,122
Inside Out,2015,PG,1h 35m,8,175000000,858848019,Pete Docter,94,1,60,35,95
Casino,1995,R,2h 58m,8,52000000,116112375,Martin Scorsese,73,2,120,58,178
Indiana Jones and the Raiders of the Lost Ark,1981,PG,1h 55m,8,18000000,389925971,Steven Spielberg,85,1,60,55,115
Psycho,1960,R,1h 49m,8,806947,32041931,Alfred Hitchcock,97,1,60,49,109
Fargo,1996,R,1h 38m,8,7000000,60611975,Joel Coen,85,1,60,38,98
Oldboy,2003,R,2h,8,3000000,15194593,Park Chan-wook,77,2,120,,120
Unforgiven,1992,R,2h 10m,8,14400000,159167799,Clint Eastwood,85,2,120,10,130
Gladiator,2000,R,2h 35m,8,103000000,465380802,Ridley Scott,67,2,120,35,155
Toy Story 3,2010,G,1h 43m,8,200000000,1066970811,Lee Unkrich,92,1,60,43,103
The Intouchables,2011,R,1h 52m,8,9500000,426588510,Olivier Nakache,57,1,60,52,112
L.A. Confidential,1997,R,2h 18m,8,35000000,126216940,Curtis Hanson,90,2,120,18,138
12 Angry Men,1957,Approved,1h 36m,9,350000,955,Sidney Lumet,96,1,60,36,96
The Matrix,1999,R,2h 16m,8,63000000,467222728,Lana Wachowski,73,2,120,16,136
The Big Lebowski,1998,R,1h 57m,8,15000000,46969081,Joel Coen,71,1,60,57,117
Spirited Away,2001,PG,2h 5m,8,19000000,355725195,Hayao Miyazaki,96,2,120,5,125
Ratatouille,2007,G,1h 51m,8,150000000,623726085,Brad Bird,96,1,60,51,111
Coco,2017,PG,1h 45m,8,175000000,807817888,Lee Unkrich,81,1,60,45,105
Finding Nemo,2003,G,1h 40m,8,94000000,940352645,Andrew Stanton,90,1,60,40,100
To Kill a Mockingbird,1962,Approved,2h 9m,8,2000000,599146,Robert Mulligan,88,2,120,9,129
Indiana Jones and the Last Crusade,1989,PG-13,2h 7m,8,48000000,474171806,Steven Spielberg,65,2,120,7,127
Rocky,1976,PG,2h,8,960000,117250402,John G. Avildsen,70,2,120,,120
Rush,2013,R,2h 3m,8,38000000,96983009,Ron Howard,74,2,120,3,123
Judgment at Nuremberg,1961,Approved,2h 59m,8,3000000,12180,Stanley Kramer,60,2,120,59,179
Barry Lyndon,1975,PG,3h 5m,8,11000000,198992,Stanley Kubrick,89,3,180,5,185
Before Sunrise,1995,R,1h 41m,8,2500000,5987386,Richard Linklater,77,1,60,41,101
The Secret in Their Eyes,2009,R,2h 9m,8,2000000,35079650,Juan José Campanella,80,2,120,9,129
